,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2022-04-04,174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,177.36557006835938,76468400.0
AAPL,2022-04-05,177.5,178.3000030517578,174.4199981689453,175.05999755859375,174.0059356689453,73401800.0
AAPL,2022-04-06,172.36000061035156,173.6300048828125,170.1300048828125,171.8300018310547,170.7953643798828,89058800.0
AAPL,2022-04-07,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,171.10350036621094,77594700.0
AAPL,2022-04-08,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,169.0658416748047,76575500.0
AAPL,2022-04-11,168.7100067138672,169.02999877929688,165.5,165.75,164.75198364257812,72246700.0
AAPL,2022-04-12,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,166.6504669189453,79265200.0
AAPL,2022-04-13,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,169.37396240234375,70618900.0
AAPL,2022-04-14,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,164.2947540283203,75329400.0
AAPL,2022-04-18,163.9199981689453,166.60000610351562,163.57000732421875,165.07000732421875,164.0760955810547,69023900.0
AAPL,2022-04-19,165.02000427246094,167.82000732421875,163.91000366210938,167.39999389648438,166.3920440673828,67723800.0
AAPL,2022-04-20,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,166.2230682373047,67929800.0
AAPL,2022-04-21,168.91000366210938,171.52999877929688,165.91000366210938,166.4199981689453,165.41795349121094,87227800.0
AAPL,2022-04-22,166.4600067138672,167.8699951171875,161.5,161.7899932861328,160.8158416748047,84882400.0
AAPL,2022-04-25,161.1199951171875,163.1699981689453,158.4600067138672,162.8800048828125,161.89927673339844,96046400.0
AAPL,2022-04-26,162.25,162.33999633789062,156.72000122070312,156.8000030517578,155.8558807373047,95623200.0
AAPL,2022-04-27,155.91000366210938,159.7899932861328,155.3800048828125,156.57000732421875,155.62725830078125,88063200.0
AAPL,2022-04-28,159.25,164.52000427246094,158.92999267578125,163.63999938964844,162.65467834472656,130216800.0
AAPL,2022-04-29,161.83999633789062,166.1999969482422,157.25,157.64999389648438,156.70074462890625,131747600.0
AAPL,2022-05-02,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,157.00889587402344,123055300.0
AAPL,2022-05-03,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,158.51974487304688,88966500.0
AAPL,2022-05-04,159.6699981689453,166.47999572753906,159.25999450683594,166.02000427246094,165.02037048339844,108256500.0
AAPL,2022-05-05,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,155.82606506347656,130525300.0
AAPL,2022-05-06,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,156.56268310546875,116124600.0
AAPL,2022-05-09,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,151.36648559570312,131577900.0
AAPL,2022-05-10,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,153.80531311035156,115366700.0
AAPL,2022-05-11,153.5,155.4499969482422,145.80999755859375,146.5,145.83184814453125,142689800.0
AAPL,2022-05-12,142.77000427246094,146.1999969482422,138.8000030517578,142.55999755859375,141.90982055664062,182602000.0
AAPL,2022-05-13,144.58999633789062,148.10000610351562,143.11000061035156,147.11000061035156,146.43905639648438,113990900.0
AAPL,2022-05-16,145.5500030517578,147.52000427246094,144.17999267578125,145.5399932861328,144.876220703125,86643800.0
AAPL,2022-05-17,148.86000061035156,149.77000427246094,146.67999267578125,149.24000549316406,148.55934143066406,78336300.0
AAPL,2022-05-18,146.85000610351562,147.36000061035156,139.89999389648438,140.82000732421875,140.17774963378906,109742900.0
